x,y,switch
088.681,25.433,1B
211.319,25.433,1I
107.103,26.228,1C
192.897,26.228,1H
231.812,32.365,1J
068.188,32.365,1A
123.454,34.751,1D
176.546,34.751,1G
140.323,41.341,1E
159.677,41.341,1F
215.719,41.854,2I
084.281,41.854,2B
197.297,42.649,2H
102.703,42.649,2C
063.788,48.786,2A
236.212,48.786,2J
119.054,51.171,2D
180.946,51.171,2G
135.923,57.762,2E
164.077,57.762,2F
220.119,58.275,3I
079.881,58.275,3B
201.697,59.070,3H
098.303,59.070,3C
240.612,65.207,3J
059.388,65.207,3A
114.654,67.592,3D
185.346,67.592,3G
131.523,74.183,3E
168.477,74.183,3F
101.561,81.683,4C
198.439,81.683,4H
181.570,88.274,4G
118.430,88.274,4D
164.183,92.933,4F
135.817,92.933,4E
