x,y,switch
087.464,29.973,1B
212.536,29.973,1I
105.886,30.768,1C
194.114,30.768,1H
233.028,36.905,1J
066.972,36.905,1A
122.238,39.290,1D
177.762,39.290,1G
139.107,45.881,1E
160.893,45.881,1F
216.936,46.394,2I
083.064,46.394,2B
198.514,47.189,2H
101.486,47.189,2C
062.572,53.326,2A
237.428,53.326,2J
117.838,55.711,2D
182.162,55.711,2G
134.707,62.302,2E
165.293,62.302,2F
221.335,62.814,3I
078.665,62.814,3B
202.914,63.609,3H
097.086,63.609,3C
241.828,69.747,3J
058.172,69.747,3A
113.438,72.132,3D
186.562,72.132,3G
130.307,78.722,3E
169.693,78.722,3F
100.345,86.223,4C
199.655,86.223,4H
182.786,92.814,4G
117.214,92.814,4D
165.400,97.473,4F
134.600,97.473,4E

