Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1µF,C_0805_2012Metric,150.000000,-64.000000,0.000000,top
C2,1µF,C_0805_2012Metric,150.000000,-72.000000,180.000000,top
C3,100nF,C_0805_2012Metric,156.000000,-75.000000,0.000000,top
C4,100nF,C_0805_2012Metric,156.000000,-87.000000,180.000000,top
C5,100nF,C_0805_2012Metric,144.000000,-87.000000,180.000000,top
C6,100nF,C_0805_2012Metric,144.000000,-75.000000,0.000000,top
D1A1,1N4148WS,D_SOD-323,68.188000,-32.365000,-15.000000,top
D1B1,1N4148WS,D_SOD-323,88.681000,-25.433000,-15.000000,top
D1C1,1N4148WS,D_SOD-323,107.103000,-26.228000,-15.000000,top
D1D1,1N4148WS,D_SOD-323,123.454000,-34.751000,-15.000000,top
D1E1,1N4148WS,D_SOD-323,140.323000,-41.341000,-15.000000,top
D1F1,1N4148WS,D_SOD-323,159.677000,-41.341000,15.000000,top
D1G1,1N4148WS,D_SOD-323,176.546000,-34.751000,15.000000,top
D1H1,1N4148WS,D_SOD-323,192.897000,-26.228000,15.000000,top
D1I1,1N4148WS,D_SOD-323,211.319000,-25.433000,15.000000,top
D1J1,1N4148WS,D_SOD-323,231.812000,-32.365000,15.000000,top
D2A1,1N4148WS,D_SOD-323,63.788000,-48.786000,-15.000000,top
D2B1,1N4148WS,D_SOD-323,84.281000,-41.854000,-15.000000,top
D2C1,1N4148WS,D_SOD-323,102.703000,-42.649000,-15.000000,top
D2D1,1N4148WS,D_SOD-323,119.054000,-51.171000,-15.000000,top
D2E1,1N4148WS,D_SOD-323,135.923000,-57.762000,-15.000000,top
D2F1,1N4148WS,D_SOD-323,164.077000,-57.762000,15.000000,top
D2G1,1N4148WS,D_SOD-323,180.946000,-51.171000,15.000000,top
D2H1,1N4148WS,D_SOD-323,197.297000,-42.649000,15.000000,top
D2I1,1N4148WS,D_SOD-323,215.719000,-41.854000,15.000000,top
D2J1,1N4148WS,D_SOD-323,236.212000,-48.786000,15.000000,top
D3A1,1N4148WS,D_SOD-323,59.388000,-65.207000,-15.000000,top
D3B1,1N4148WS,D_SOD-323,79.881000,-58.275000,-15.000000,top
D3C1,1N4148WS,D_SOD-323,98.303000,-59.070000,-15.000000,top
D3D1,1N4148WS,D_SOD-323,114.654000,-67.592000,-15.000000,top
D3E1,1N4148WS,D_SOD-323,131.523000,-74.183000,-15.000000,top
D3F1,1N4148WS,D_SOD-323,168.477000,-74.183000,15.000000,top
D3G1,1N4148WS,D_SOD-323,185.346000,-67.592000,15.000000,top
D3H1,1N4148WS,D_SOD-323,201.697000,-59.070000,15.000000,top
D3I1,1N4148WS,D_SOD-323,220.119000,-58.275000,15.000000,top
D3J1,1N4148WS,D_SOD-323,240.612000,-65.207000,15.000000,top
D4C1,1N4148WS,D_SOD-323,101.561000,-81.683000,-15.000000,top
D4D1,1N4148WS,D_SOD-323,118.430000,-88.274000,-15.000000,top
D4E1,1N4148WS,D_SOD-323,135.817000,-92.933000,-15.000000,top
D4F1,1N4148WS,D_SOD-323,164.183000,-92.933000,15.000000,top
D4G1,1N4148WS,D_SOD-323,181.570000,-88.274000,15.000000,top
D4H1,1N4148WS,D_SOD-323,198.439000,-81.683000,15.000000,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,150.000000,-35.075,180.000000,top
R1,5.1k,R_0805_2012Metric,152.000000,-59.000000,-90.000000,top
R2,5.1k,R_0805_2012Metric,148.000000,-59.000000,90.000000,top
R3,5.1k,R_0805_2012Metric,150.000000,-90.000000,0.000000,top
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,150.000000,-81.000000,0.000000,top
U2,XC6206P332MR,SOT-23-3,150.000000,-68.000000,-90.000000,top
